============================================================
HYPERPARAMETER EXPERIMENT RESULTS
============================================================

Total models trained: 54
Training epochs per model: 50
Min word count: 2

Model         Dim  Win  Neg   Vocab  Time(s)
--------------------------------------------
CBOW           50    3    5   11241      7.7
CBOW           50    3   10   11241    10.35
CBOW           50    3   15   11241     13.9
CBOW           50    5    5   11241     8.65
CBOW           50    5   10   11241    12.14
CBOW           50    5   15   11241    16.02
CBOW           50    7    5   11241     9.48
CBOW           50    7   10   11241    12.87
CBOW           50    7   15   11241    16.41
CBOW          100    3    5   11241     8.11
CBOW          100    3   10   11241    11.53
CBOW          100    3   15   11241    14.77
CBOW          100    5    5   11241     8.84
CBOW          100    5   10   11241    12.27
CBOW          100    5   15   11241    15.72
CBOW          100    7    5   11241     9.51
CBOW          100    7   10   11241    12.98
CBOW          100    7   15   11241    16.41
CBOW          200    3    5   11241    10.44
CBOW          200    3   10   11241    14.83
CBOW          200    3   15   11241    19.83
CBOW          200    5    5   11241    11.95
CBOW          200    5   10   11241    16.05
CBOW          200    5   15   11241    21.03
CBOW          200    7    5   11241    12.72
CBOW          200    7   10   11241    17.81
CBOW          200    7   15   11241    22.14
Skip-gram      50    3    5   11241    20.94
Skip-gram      50    3   10   11241    35.49
Skip-gram      50    3   15   11241    49.38
Skip-gram      50    5    5   11241    30.49
Skip-gram      50    5   10   11241    50.98
Skip-gram      50    5   15   11241     71.3
Skip-gram      50    7    5   11241    37.22
Skip-gram      50    7   10   11241    67.02
Skip-gram      50    7   15   11241   108.24
Skip-gram     100    3    5   11241    24.38
Skip-gram     100    3   10   11241    38.85
Skip-gram     100    3   15   11241    52.96
Skip-gram     100    5    5   11241    32.43
Skip-gram     100    5   10   11241     56.8
Skip-gram     100    5   15   11241    78.63
Skip-gram     100    7    5   11241    41.21
Skip-gram     100    7   10   11241    66.02
Skip-gram     100    7   15   11241    89.37
Skip-gram     200    3    5   11241    27.41
Skip-gram     200    3   10   11241    45.46
Skip-gram     200    3   15   11241    63.24
Skip-gram     200    5    5   11241    38.96
Skip-gram     200    5   10   11241    64.94
Skip-gram     200    5   15   11241    90.43
Skip-gram     200    7    5   11241     48.6
Skip-gram     200    7   10   11241    82.35
Skip-gram     200    7   15   11241   115.09
